"match","status","model_used","score","base_uom","customer_review_state","base_description","base_upc","bungee_review_state","comp_img","queue_name_item_status","base_sku","base_sub_subcategory","item_status","match_id","match_date","comp_size","comp_source_store","comp_title","base_url","comp_sku_comp_source_store_base_source_store","comp_sub_subcategory","base_subcategory","comp_category","base_title","base_category","base_source_store_comp_sku_comp_source_store","base_store_name_display","base_alt_uom","comp_source_store_base_sku_base_source_store","comp_url","enqueue_index","base_dimensions","company_code","base_size","base_parent_sku","comp_brand","active","comp_description","comp_shipping_weight","comp_price","queue_name","comp_store_name_display","pair_id","base_alt_size","base_shipping_weight","comp_uom","base_sku_base_source_store_comp_source_store","comp_subcategory","match_status","comp_alt_size","comp_sku","matcher","comp_parent_sku","comp_alt_uom","base_price","comp_dimensions","base_brand","comp_upc","base_img","queue","workflowtype","answer","completed_date","time_taken","company_code_base_source_store","base_source_store","domain","year","month","day","workflow"
"exact","completed","btfastlane-ml_v1.0","0.96484375","n/a","unverified","**Remember to measure for the perfect fit.** Designed to provide eventers with maximum protection during a fall, the Tipperary Equestrian Eventer Pro Riding Vest is both ASTM and SEI certified. Its Tectonic foam plating creates a double layer pattern, allowing the vest to flex with your movement without creating any gaps. The vest matches your movement and features an anatomic fit. The higher-cut torso front gives you freedom through your hip angle, perfect for clearing those bigger fences, while the lower back design covers your tailbone. The shoulders give you maximum reach and rotation for banks, drops and long gallops. Flexible lace closures let you customize the vest’s fit while letting it expand and contract with your movement for unp","871657008196","verified","https://www.bigdweb.com/media/catalog/product/cache/9049d143caa1ab17a6a7f4b63824bbbb/3/0/3015t_c1105_phfejtyix3v11blc.jpg","chewy_customer_queue_pending","278491","Equine","new","871657008196_278491_chewy_chewy<>-_3015T::46020_bigdweb_bigdweb","1685439395","n/a","bigdweb_bigdweb","Tipperary Eventer Pro Vest ,Black ,Medium ,Regular ,Youth","https://www.chewy.com/dp/304890","3015T::46020_bigdweb_bigdweb_chewy_chewy",,"Horse","Apparel","Tipperary Equestrian Eventer Pro Riding Vest, Black, Medium","Specialty","chewy_chewy_3015T::46020_bigdweb_bigdweb","Chewy",,"bigdweb_bigdweb_278491_chewy_chewy","https://www.bigdweb.com/tipperary-eventer-pro-vest","7274",,"btfastlane","n/a","278481","Tipperary Equestrian","True","The Tipperary 3015 Eventer Pro Vest conforms to each athletes body shape and allows for excellent air circulation with specialized antibacterial agents that prevent odor build up. The foam plating is a unique double layer pattern that moves and flexes with the rider without any separation or gapping. This safety vest would work for eventing, trail riding, hunter paces, western or any other discipline that requires extra protection. Product Details: Color: Black Available sizes: Adult X-Small - Large (Regular or Tall), Youth Small - X-Large Tall size options to accommodate longer torsos TECTONIC FOAM PLATING is a unique double layer pattern that moves and flexes with the rider without any separation or gapping of the foam. LIVE SPINE works in conjunction with the tectonic foam plating to provide increased protection while moving, flexing and mimicking the athletes movements. FLEX LACE CLOSURES along with additional darting at the front and back of the vest provide a more customized fit allowing the vest to expand and contract with the athletes movements while offering easy and quick fit adjustments with draw strong clip and added side flap protection EVOLUTION FOAM conforms to each athletes body shape and allows for air return circulation, cooling the body in high temperatures with specialization antibacterial agents that prevent the vest from odor build up. Reflective Trim provides higher visibility and increased safety. ASTM-SEI Certified (F1937-04)",,"449.99","chewy_customer_queue","Bigdweb","871657008196_278491_chewy_chewy<>-_3015T::46020_bigdweb_bigdweb",,"3.1","n/a","278491_chewy_chewy_bigdweb_bigdweb","Rider Safety","product_found",,"3015T::46020","f9c0f01a-cfe7-4755-a7fe-c053f33dd5fd",,,"359.99",,"Tipperary Equestrian","-","https://image.chewy.com/is/image/catalog/278491_MAIN._1615511830_.jpg","chewy_customer_queue","customer","exact_match","2023-06-20T05:56:07+00:00","25","btfastlane_chewy_chewy","chewy_chewy",,"2023","06","20","fastlane_queue_1"
"equivalent","completed","btfastlane-ml_v1.0","0.96875","PK : Pack","unverified","Avery Multi-Use Laser/Inkjet Shipping Label, 1 1/2"" x 4"", White, 3 Labels/Sheet, 50 Sheets/Pack (05452)","N/A","verified","https://www.zoro.com/static/cms/product/large/Z2oBItmcpIx_.JPG","staples_weekly_pending","458167","Office Supplies","new","N_A_458167_staples_staples<>-_g5011015_zoro_zoro","1679948177","150.0","zoro_zoro","Laser Label Color Print 6Up, White, PK150","https://www.Staples.com/product_458167","g5011015_zoro_zoro_staples_staples","Printer Labels","92 - Labels & Tags","Office, School & Shipping Supplies","458167->REMOVABLE RECTANGULAR LABEL->PK->150","Office Supplies","staples_staples_g5011015_zoro_zoro","Staples",,"zoro_zoro_458167_staples_staples","https://www.zoro.com/avery-laser-label-color-print-6up-white-pk150-6874/i/G5011015/","13624",,"btfastlane","150.0",,"Avery","True","Vibrant Color Printing Mailing Labels, Package Quantity 150",,"15.75","staples_weekly","Zoro","N_A_458167_staples_staples<>-_g5011015_zoro_zoro",,,"PK : Pack","458167_staples_staples_zoro_zoro","Paper & Notes","product_found",,"g5011015","462942c3-fa5f-401f-9a17-a26628d2f4e8","G5011015",,,,"AVERY PRODUCTS CORPORATION","",,"staples_weekly","customer_queue","equivalent_match","2023-04-01T04:08:45+00:00","52","btfastlane_staples_staples","staples_staples",,"2023","04","01","staples_weekly"
"equivalent","completed","btfastlane-ml-V2.0","0.8653506","PK : Pack","unverified","2134136->SUNWORKS CONSTRUCTION PAPER PA->PK->5","804551946004","verified","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81sBQn+KZPL._AC_SX679_.jpg","staples_amazon_special_0IF_queue_pending","2134136","Office Supplies","new","804551946004_2134136_staples_staples<>-_b0017d9iqg_amazon_amazon","1693550278","1","amazon_amazon","Pacon SunWorks Construction Paper, 9-Inches by 12-Inches, 50-Count, Bright Green (9603) | ","https://www.quill.com/search?keywords=52956432","b0017d9iqg_amazon_amazon_staples_staples","Paper & Paper Crafts","82 - School & Art Supplies","Arts, Crafts & Sewing","Pacon Sunworks Construction Paper Green 12"" x 18"", 50 Sheets, 5/Pack  (5PK-8007) | 72347-PK5","Office Supplies","staples_staples_b0017d9iqg_amazon_amazon","Staples",,"amazon_amazon_2134136_staples_staples","https://www.amazon.com/dp/B0017D9IQG?th=1&psc=1","3003",,"btfastlane","5.0",,"PACON","True","Pacon SunWorks Construction Paper is perfect for arts and crafts, school projects and more. This heavyweight groundwood construction paper provides the best value in school grade construction paper. The bright, consistent colors ensure that you’ll always find the perfect colored paper for any project. This smooth-textured paper cuts and folds evenly without cracking. This pack comes with 50 sheets of 9-inch by 12-inch Bright Green paper. Each sheet of construction paper is recyclable. Pacon SunWorks Construction Paper allows you to let your imagination shine!",,"5.0","staples_amazon_special_0IF_queue","Amazon","804551946004_2134136_staples_staples<>-_b0017d9iqg_amazon_amazon",,,"PK : Pack","2134136_staples_staples_amazon_amazon","Crafting","product_found",,"b0017d9iqg","f9c0f01a-cfe7-4755-a7fe-c053f33dd5fd","B0017D9IQG",,,,"Pacon","-",,"staples_amazon_special_0IF_queue","customer_queue","equivalent_match","2023-09-06T06:13:42+00:00","14","btfastlane_staples_staples","staples_staples",,"2023","09","06","staples_amazon_special_0IF_queue"
"equivalent","completed","btfastlane-ml-V2.0","0.8338307","PK : Pack","unverified","24410344->CORR BOX 13X10X4 32ECT 25/BD->PK->25","700358216572","verified","https://m.media-amazon.com/images/I/51TUuFJt7nL._AC_SL1000_.jpg","staples_specialised_amazon_v2_abv_80_pending","24410344","Pack and Ship","new","700358216572_24410344_staples_staples<>-_b09pdcpwnd_amazon_amazon","1692027044","25","amazon_amazon","25-24x8x8-32 ECT New Corrugated Boxes | ","https://www.Staplesadvantage.com/product_24410344","b09pdcpwnd_amazon_amazon_staples_staples","Corrugated Boxes","91 - Shipping & Mailing Suppli","Industrial & Scientific","13"" x 10"" x 4"", 32 ECT, Shipping Boxes | BS131004","JanSan","staples_staples_b09pdcpwnd_amazon_amazon","Staples",,"amazon_amazon_24410344_staples_staples","https://www.amazon.com/dp/B09PDCPWND?th=1&psc=1","16856",,"btfastlane","25.0",,"E1 Packaging","True","Our corrugated box is perfect for moving great for storage, or durable for shipping. We ship the boxes flat so they can store flat to save space. With two or three peices of tape on each side, the box is ready for use. The bxoes are all 100% recyclable. Boxes are ideal for packing lightweight or bulky items such as books, kitchenware, clothes, linens, small appliances, toys, mugs, and any other retail shipping. Please confirm the size and quantities of boxes you need. The per peice price of the box drops price with more quantity. <><> Industrial & Scientific || Packaging & Shipping Supplies || Corrugated Boxes",,"60.09","staples_specialised_amazon_v2_abv_80","Amazon","700358216572_24410344_staples_staples<>-_b09pdcpwnd_amazon_amazon",,,"PK : Pack","24410344_staples_staples_amazon_amazon","Packaging & Shipping Supplies","product_found",,"b09pdcpwnd","84ea8383-1819-4593-942f-8090871936f5","B09PDCPWND",,,"‎32.38 x 16.63 x 7.81 inches","The Packaging Wholesalers","-",,"staples_specialised_amazon_v2_abv_80","customer_queue","equivalent_match","2023-08-20T16:58:58+00:00","32","btfastlane_staples_staples","staples_staples",,"2023","08","20","staples_specialised_amazon_v2_abv_80"
"exact","completed","btfastlane-ml-V2.0","0.8848588","LBS","unverified","Bring home quality nutrition for your dog with ACANA Grain Free* Meadowland Recipe Dry Dog Food. This high protein ACANA dog food is perfect for all life stages and includes prebiotics and fiber to support healthy digestion. Protein-rich chicken, turkey and fish are balanced with whole pumpkin, collard greens, butternut squash, apples and pears to offer a nutritious option for your dog. This grain free* dog food kibble has a freeze dried coating made of chicken and turkey liver for a delicious taste your dog will crave. Choose ACANA grain free* dry dog food to give your companion the nutritional foundation they need to live a happy, healthy life. *Produced in a facility that also processes grains **Approximate and derived from the unprocessed state of the ingredients ***We also add vitamins, minerals, natural preservatives flavors and probiotics., One bag of ACANA Grain Free* Meadowland Recipe Dry Dog Food, Made with 70%** high-quality animal ingredients and 30%*** wholesome fruits, vegetables and nutrients, A freeze dried dog food coating adds rich flavor dogs crave, Protein-rich animal ingredients balanced with wholesome fruits and vegetables plus probiotics for nutritious, high-fiber dog food, Premium dog food made in the USA with quality ingredients from around the world | ACA-DOG 4.5# REG MEADOW","064992520458","verified","https://www.1800petmeds.com/dw/image/v2/BDKX_PRD/on/demandware.static/-/Sites-main/default/dwb7add58e/images/large/67033.jpg?sw=178&sh=178&sm=fit&q=40","petco_weekly_customer_queue_v2_pending","2994301","Dog Food","new","064992520458_2994301_petco_petco<>-_67033_petmeds_petmeds","1702893150","4.5","petmeds_petmeds","Acana Highest Protein Meadowland Grain Free Dry Dog Food 4.5 lb Bag","https://www.petco.com/shop/en/petcostore/product/acana-meadowlands-dry-dog-food","67033_petmeds_petmeds_petco_petco",,"CONSUMABLES","Food","ACANA Grain Free, Highest Protein, Meadowland Dry Dog Food, 4.5 lbs.","CONSUMABLES","petco_petco_67033_petmeds_petmeds","Petco",,"petmeds_petmeds_2994301_petco_petco","https://www.1800petmeds.com/Acana+Highest+Protein+Meadowland+Grain+Free+Dry+Dog+Food+4.5+lb+Bag-67033.html","104",,"btfastlane","4.5",,"Acana","True","What is Acana Highest Protein Meadowland Grain Free Dry Dog Food? Bring home the quality nutrition your dog needs to thrive with ACANA Grain Free* Meadowland Recipe Dry Dog Food. This high protein dog food is for all life stages and includes prebiotics and fiber to support healthy digestion. Protein-rich chicken, turkey and wild-caught and sustainably farmed fish are balanced with whole pumpkin, collard greens, butternut squash, apples and pears to offer a nutritious option for your dog. (*Produced in a facility that also processes grains.)",,"0.0","petco_weekly_customer_queue_v2","Petmeds","064992520458_2994301_petco_petco<>-_67033_petmeds_petmeds",,,"LBS","2994301_petco_petco_petmeds_petmeds","Dry Pet Food","product_found",,"67033","0b1ce002-a09c-486d-aed3-f7bae02e090b","prod67033",,,,"ACANA","-","//assets.petco.com/petco/image/upload/f_auto,q_auto/2994301-center-1","petco_weekly_customer_queue_v2","customer_queue","exact_match","2023-12-19T12:47:54+00:00","9","btfastlane_petco_petco","petco_petco","pets","2023","12","19","petco_weekly_customer_queue_v2"
"exact","completed","btfastlane-transitive","1.0","n/a","unverified","Proudly display your fishy friends’ aquarium with Flipper by Ollie and Hutch Barnwood Flipper 10/20-gal Fish Aquarium Stand. Made of laminated particleboard and medium density fiberboard with a weathered medium brown finish, this aquarium stand can e","026737675915","verified","https://m.media-amazon.com/images/I/81z2eTZ3NfL.__AC_SX300_SY300_QL70_FMwebp_.jpg","chewy_low_confidence_upc_transitive_matches_pending","356979","Fish","new","026737675915_356979_chewy_chewy<>-_b08wysfslx_amazon_amazon","1676356105","20.0","amazon_amazon","Ollie & Hutch Farmington 10/20 Gallon Aquarium Stand, Ivory, 10/20GallonAquariumStand - Ivory","https://www.chewy.com/dp/383208","b08wysfslx_amazon_amazon_chewy_chewy","Aquarium Stands","Fish","Pet Supplies","Flipper by Ollie & Hutch Barnwood Fish Aquarium Stand, Ivory Oak, 10-20 gal","Specialty","chewy_chewy_b08wysfslx_amazon_amazon","Chewy",,"amazon_amazon_356979_chewy_chewy","https://www.amazon.com/dp/B08WYSFSLX?th=1&psc=1","13218","15.67INH(L) x 26.7INH(W) x 30.0INH(H)","btfastlane","n/a","356977","Ollie & Hutch","True","Make your room come alive with the Ollie & Hutch Farmington 10/20 Gallon Aquarium Stand. This Aquarium Stand can hold tanks between 10 gallons and 20 gallons depending on your tank size. Aquarium tank is not included. The 2 doors conceal all the storage you need to store away food, nets, and cleaning supplies on the 2 shelves. The back panel features an open concept to make attaching accessories to the tank easy. Made of laminated MDF and particleboard, the Stand features a weathered off-white finish that can be paired with any style and decor. The Stand ships flat to your door and requires assembly upon opening. Two adults are recommended to assemble. Once assembled, the Aquarium Stand measures to be 30”H x 26.7”W x 15.67”D. <><> Pet Supplies || Fish & Aquatic Pets || Aquarium Stands",,"174.0","chewy_low_confidence_upc_transitive_matches","Amazon","026737675915_356979_chewy_chewy<>-_b08wysfslx_amazon_amazon",,"65.04","Gallon","356979_chewy_chewy_amazon_amazon","Fish & Aquatic Pets","product_found",,"b08wysfslx","adc14aa3-7768-4c8c-a09b-987d944ebcac","B08Y6HBG7T",,"174.0","15.67 x 26.7 x 30 inches","Flipper by Ollie and Hutch","","https://image.chewy.com/is/image/catalog/356979_MAIN._1641341227_.jpg","chewy_low_confidence_upc_transitive_matches","upc_transitive_queue","exact_match","2023-02-16T11:35:49+00:00","9","btfastlane_chewy_chewy","chewy_chewy",,"2023","02","16","chewy_low_confidence_upc_transitive_matches"
"exact","completed","btfastlane-ml_v1.0","0.78125","n/a","unverified","Feed your furry friend the wholesome goodness of Merrick Grain-Free Duck + Sweet Potato Recipe Dry Dog Food. This recipe is made with 65% protein and healthy fat, with deboned duck as the very first ingredient to promote healthy muscle tissue and energy levels. The remaining 35% includes produce, fiber, vitamins, minerals and other natural ingredients to create a complete and balanced diet that’s paw-fect for adult dogs of all breeds. This grain- and gluten-free dry dog food is developed with high levels of omega fatty acids to help promote healthy skin and a shiny coat, while glucosamine and chondroitin support hip and joint function. This kibble is cooked in the USA in Merrick’s Hereford, TX kitchen with high-quality whole foods sourced f","022808382338","verified","https://cdn11.bigcommerce.com/s-9usi8/images/stencil/650x650/attribute_rule_images/653085_source_1617377949.jpg","chewy_cherry_etsy_groom_queue_pending","52172","Core Food","new","022808382338_52172_chewy_chewy<>-_55-M165-04-115064_cherrybrook_cherrybrook","1682407250","4.0","cherrybrook_cherrybrook","Merrick Grain Free Real Duck and Sweet Potato Dry Dog Food, 4 lbs","https://www.chewy.com/dp/37318","55-M165-04-115064_cherrybrook_cherrybrook_chewy_chewy",,"Dog","food","Merrick Grain-Free Duck + Sweet Potato Recipe Dry Dog Food, 4-lb bag","Consumables","chewy_chewy_55-M165-04-115064_cherrybrook_cherrybrook","Chewy",,"cherrybrook_cherrybrook_52172_chewy_chewy","https://www.cherrybrook.com/merrick-grain-free-real-duck-and-sweet-potato-dry-dog-food/?sku=55-M165-04-115064","26504",,"btfastlane","n/a","52145","Merrick","True","Merrick Grain Free Real Duck and Sweet Potato Recipe dry dog food provides a protein-rich diet with real, fresh locally-sourced duck from US farmers. Full of natural ingredients, this grain-free formula is perfect for dogs of all breeds and sizes. Fi",,"22.99","chewy_cherry_etsy_groom_queue","Cherrybrook","022808382338_52172_chewy_chewy<>-_55-M165-04-115064_cherrybrook_cherrybrook",,"4.07","Pound","52172_chewy_chewy_cherrybrook_cherrybrook","dry-dog-food","product_found",,"55-M165-04-115064","9121f653-ae9a-4335-a86c-3ec79a0c6551","55-M165-04-115064",,"22.99",,"Merrick","-","https://image.chewy.com/is/image/catalog/52172_MAIN._1544222258_.jpg","chewy_cherry_etsy_groom_queue","customer","exact_match","2023-05-03T12:59:35+00:00","7","btfastlane_chewy_chewy","chewy_chewy",,"2023","05","03","chewy_cherry_etsy_groom_queue"
"equivalent","completed","btfastlane-ml-V2.0","0.8311508","PK : Pack","unverified","24343769->POST-IT EASEL PAD WHITE 3PK->PK->3","00638060269053","verified","https://c1.neweggimages.com/ProductImage/A389_1_20190123670731753.jpg","staples_weekly_v2_abv_80_high_performance_0if_pending","24343769","Office Supplies","new","00638060269053_24343769_staples_staples<>-_9sia25v9124796_newegg_newegg","1689040278","4","newegg_newegg","3M - 559VAD4PK - Post-it 559 VAD 4PK - Easel pad - 25 in x 30 in - 30 sheets - white - plain (pack of 4)","https://www.Staples.com/product_24343769","9sia25v9124796_newegg_newegg_staples_staples","Laminating & Binding","82 - School & Art Supplies","Office Solutions","24343769->POST-IT EASEL PAD WHITE 3PK->PK->3","Office Supplies","staples_staples_9sia25v9124796_newegg_newegg","Staples",,"newegg_newegg_24343769_staples_staples","https://www.newegg.com/p/2W5-0012-000A1","59",,"btfastlane","3.0",,"3M","True","These repositionable sheets stick to most surfaces and can be removed easily without causing damage. Easel Pad, Plan, 30 In., White, PK4",,"134.93","staples_weekly_v2_abv_80_high_performance_0if","Newegg","00638060269053_24343769_staples_staples<>-_9sia25v9124796_newegg_newegg",,,"PK : Pack","24343769_staples_staples_newegg_newegg","Office Machines & Equipment","product_found",,"9sia25v9124796","2ea5e66d-e4dc-47e4-9e39-477b067affaa","9SIA25V9124796",,,"25 in x 30 in ","Post-it","-",,"staples_weekly_v2_abv_80_high_performance_0if","customer_queue","equivalent_match","2023-07-11T06:52:48+00:00","62","btfastlane_staples_staples","staples_staples",,"2023","07","11","staples_weekly_v2_abv_80_high_performance_0if"
"exact","completed","btfastlane-ml-V2.0","0.9425893","EA : Each","unverified","273160->16OZ ACRYLIC PAINT - BLACK->EA->1","N/A","verified","https://www.zoro.com/static/cms/product/large/Unbeatablesale Inc_rtl146734xx650xx3010d2.jpeg","staples_weekly_v2_abv_80_pending","273160","Office Supplies","new","N_A_273160_staples_staples<>-_g404174663_zoro_zoro","1690912337","1","zoro_zoro","16Oz Acrylic Paint - Black | ","https://www.Staples.com/product_273160","g404174663_zoro_zoro_staples_staples",,"82 - School & Art Supplies","Office, School & Shipping Supplies","273160->16OZ ACRYLIC PAINT - BLACK->EA->1 | SAR242485","Office Supplies","staples_staples_g404174663_zoro_zoro","Staples",,"zoro_zoro_273160_staples_staples","https://www.zoro.com/sargent-art-inc-16oz-acrylic-paint-black-sar242485/i/G404174663/","4",,"btfastlane","1.0",,"Sargent Art Inc","True","Features:Product type - Acrylic PaintColor - BlackCapacity - 16 Oz.",,"49.8","staples_weekly_v2_abv_80","Zoro","N_A_273160_staples_staples<>-_g404174663_zoro_zoro",,,"EA : Each","273160_staples_staples_zoro_zoro","Arts & Crafts","product_found",,"g404174663","062921f6-d627-444f-ba1a-aa7c35a19804","G404174663",,,,"Sargent Art","-",,"staples_weekly_v2_abv_80","customer_queue","exact_match","2023-08-03T04:13:24+00:00","73","btfastlane_staples_staples","staples_staples",,"2023","08","03","staples_weekly_v2_abv_80"
"exact","completed","btfastlane-ml_v1.0","0.8046875","n/a","unverified","**Remember to measure your pet for the paw-fect fit.** Help your four-legged friend stay clean and comfortable with the Waterproof w/Riveted Name Plate Dog Collar from Mimi Green! Featuring a personalized nameplate, this waterproof dog collar helps guard against odors and dirt, so you never need to worry about your dog returning home in a mess. It features polyester webbing on the inside with PVC coating to protect against moisture, abrasions, rotting and general stink. Plus, it has a great leather look that doesn’t require the constant maintenance of genuine leather.","068729463087","verified","https://i.etsystatic.com/5209931/r/il/1b187e/1757403793/il_fullxfull.1757403793_capm.jpg","chewy_cherry_etsy_groom_queue_pending","628966","Personalized","new","068729463087_628966_chewy_chewy<>-_636328187:1818171190:1446384911_etsy_etsy","1682407251","10.0","etsy_etsy","Waterproof Dog Collar w Engraved Riveted NAMEPLATE StinkProof, Dirt Resistant, Sporting & Hunting Dog, Swimming Collar, Leather Alternative, Blanca | Silver, 5/8 W x 7 - 10 L","https://www.chewy.com/dp/628966","636328187:1818171190:1446384911_etsy_etsy_chewy_chewy","Pet Collars & Jewelry","Dog","Pet Supplies","Mimi Green Waterproof w/Riveted Name Plate Dog Collar, Blanca, Small 5/8”","Hard Goods","chewy_chewy_636328187:1818171190:1446384911_etsy_etsy","Chewy",,"etsy_etsy_628966_chewy_chewy","https://www.etsy.com/listing/636328187/waterproof-dog-collar-w-engraved-riveted?variation0=1818171190&variation1=1446384911","24928","11.0INH(L) x 0.62INH(W)","btfastlane","n/a","628310","shopmimigreen","True","Our waterproof soft grip dog collars are stink proof, stain resistant, & vegetarian / vegan friendly! Great for hunting, swimming or any other activity where a collar could get dirty or stinky!  Best part?  No more jingling tag!    * *Fitted with a highly polished stainless steel or brass closure    * Has a great leather look without the maintenance of leather    * Solid cast brass and cast chrome plated d-rings    * Available in Black, Brown (which look most like real leather) plus Pink, Purple & Blue, and more!    * Handmade in the Mimi Green studios, New Mexico, USA    * Engraving is guaranteed to never wear off!    * Collar is easy to clean, weather resistant and stays flexible even in freezing temperatures    * Note: Please double check for accuracy as engraved buckle collars are not returnable nor exchangeable.Flaunt your pooch’s one-of-a-kind style with this specialty dog collar from Mimi Green!-------------MORE ∙ FROM ∙ MIMI GREEN-------------Matching leash here: https://www.etsy.com/listing/623970232/waterproof-dog-leash-stinkproof-dirt?ga_search_query=waterproof&ref=shop_items_search_4&crt=1",,"41.99","chewy_cherry_etsy_groom_queue","Etsy","068729463087_628966_chewy_chewy<>-_636328187:1818171190:1446384911_etsy_etsy",,"0.01","Liter","628966_chewy_chewy_etsy_etsy","Pet Collars & Leashes","product_found",,"636328187:1818171190:1446384911","0cdbd8af-9f4e-40a0-8fcc-f82250bfb16a","636328187",,"36.99",,"Mimi Green","-","https://image.chewy.com/is/image/catalog/628966_MAIN._1676046587_.jpg","chewy_cherry_etsy_groom_queue","customer","exact_match","2023-05-03T10:27:02+00:00","137","btfastlane_chewy_chewy","chewy_chewy",,"2023","05","03","chewy_cherry_etsy_groom_queue"
